source,rubrique,page,titre,url,date
lefaso.net,Politique,1,Burkina : le partenariat public-privé se renforce pour accélérer les projets structurants,https://lefaso.net/spip.php?article140127,
lefaso.net,Politique,1,"Burkina/ Évaluation des ministres : 54 %, la moyenne globale après trois jours de bilan",https://lefaso.net/spip.php?article139954,
lefaso.net,Politique,1,"Burkina/Évaluation des ministres : Jacques Sosthène Dingara affiche un taux d’exécution de 62,15%",https://lefaso.net/spip.php?article139948,
lefaso.net,Politique,1,"Burkina/Evaluation des contrats d’objectifs 2025 : Un taux d’exécution de 50,36% pour le ministre Adama Luc Sorgho ‎",https://lefaso.net/spip.php?article139947,
lefaso.net,Politique,1,"Burkina/Évaluation des ministres : Un taux global de mise en oeuvre de  60,85% pour le ministre en charge du commerce",https://lefaso.net/spip.php?article139946,
lefaso.net,Politique,1,"Burkina/ Évaluation des ministres : Un taux d’exécution de 49,15% pour le ministre Yacouba Gouba",https://lefaso.net/spip.php?article139956,
lefaso.net,Politique,1,"Burkina/ Évaluation des ministres : Dr Aboubakar Nacanabo atteint un taux d’exécution de 54,10% ‎",https://lefaso.net/spip.php?article139957,
lefaso.net,Politique,1,"Burkina/Évaluation des ministres : Le ministre de l’enseignement supérieur atteint 55,35% d’exécution au premier semestre",https://lefaso.net/spip.php?article139955,
lefaso.net,Politique,1,Burkina/Évaluation des ministres : La ministre en charge de la Transition digitale réalise 53% de son contrat d’objectifs au premier semestre de l’année,https://lefaso.net/spip.php?article139922,
lefaso.net,Politique,1,Burkina/Anniversaire de la Révolution du 4 Août 83 : Le président du Faso exhorte à poursuivre l’élan de Sankara,https://lefaso.net/spip.php?article139914,
lefaso.net,Politique,1,"Burkina/Évaluation des ministres : 72,70% du territoire reconquis, selon le Général Célestin Simporé, ministre en charge de la Défense",https://lefaso.net/spip.php?article139891,
lefaso.net,Politique,1,Burkina/Évaluation des ministres : Bientôt la traque aux villas meublées pour assainir le milieu du tourisme,https://lefaso.net/spip.php?article139904,
lefaso.net,Politique,1,"Burkina/Évaluation des ministres : 46,74% du contrat d’objectifs réalisés par le département de la santé au premier semestre de l’année",https://lefaso.net/spip.php?article139907,
lefaso.net,Politique,1,"Burkina/Évaluation des ministres : 51,83% d’exécution du contrat d’objectifs pour le ministre Mathias Traoré",https://lefaso.net/spip.php?article139901,
lefaso.net,Politique,1,"Burkina/Évaluation des ministres : Le département en charge de l’Agriculture affiche un taux d’exécution de 56,63 % à mi-parcours",https://lefaso.net/spip.php?article139897,
lefaso.net,Politique,1,Burkina : Le président du Faso reçoit des présidents de cours constitutionnelles,https://lefaso.net/spip.php?article139836,
lefaso.net,Politique,1,"Burkina : « Il y a lieu de sortir la constitution du cercle de quelques personnes éclairées, pour l’orienter vers les masses populaires », conseille le président du Faso, capitaine Ibrahim Traoré",https://lefaso.net/spip.php?article139783,
lefaso.net,Politique,1,"Burkina/Liberté d’association : L’ALT adopte une loi pour assainir le milieu des associations, des ONG et des syndicats",https://lefaso.net/spip.php?article139552,
lefaso.net,Politique,1,Burkina : Le gouvernement adopte un projet de loi portant dissolution de la CENI,https://lefaso.net/spip.php?article139529,
lefaso.net,Politique,1,Burkina : Des autorisations d’associations et d’ONG révoquées pour non-respect de la législation nationale,https://lefaso.net/spip.php?article139240,
lefaso.net,Politique,2,"Burkina : « Cette réorganisation du territoire repose sur un critère principal : la défense stratégique de notre pays », explique le ministre d’État Emile Zerbo",https://lefaso.net/spip.php?article139232,
lefaso.net,Politique,2,"Burkina : Réorganisation du territoire national, les ministres Émile Zerbo et Gilbert Ouédraogo donnent davantage de clarifications",https://lefaso.net/spip.php?article139216,
lefaso.net,Politique,2,Burkina : Le Président du Faso séjournera dans la région du Centre-Sud à partir du 14 juin 2025,https://lefaso.net/spip.php?article138780,
lefaso.net,Politique,2,Assemblée législative de transition : Les députés examinent le projet de loi portant code de procédure pénale,https://lefaso.net/spip.php?article138716,
lefaso.net,Politique,2,"Burkina/ Nouvelle loi portant organisation judiciaire : Chambres pour mineurs, juge unique, audiences en langues nationales…voici quelques innovations",https://lefaso.net/spip.php?article138692,
